DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-01-02,KCB,KCB Group Plc,33.75,55.5,30.0,30.5,30.25,29.75,0.1,0.0002,144500.0
2013-01-03,KCB,KCB Group Plc,33.75,55.5,30.25,31.5,31.0,30.25,0.05,9.8e-05,790400.0
2013-01-04,KCB,KCB Group Plc,33.75,55.5,31.0,31.5,31.0,31.0,0.1,0.000194,5264700.0
2013-01-07,KCB,KCB Group Plc,33.75,55.5,30.25,31.5,31.0,31.0,0.1,0.00018999999999999998,2037700.0
2013-01-08,KCB,KCB Group Plc,33.75,55.5,30.25,31.25,31.0,31.0,0.25,0.00046699999999999997,637600.0
2013-01-09,KCB,KCB Group Plc,33.75,55.5,31.0,32.0,31.25,31.0,0.2,0.00035699999999999995,1659000.0
2013-01-10,KCB,KCB Group Plc,33.75,55.5,31.5,32.25,31.75,31.25,-0.2,0.00034500000000000004,1527700.0
2013-01-11,KCB,KCB Group Plc,33.75,55.5,31.5,33.25,32.75,31.75,0.0,0.0,3564900.0
2013-01-14,KCB,KCB Group Plc,33.75,55.5,33.0,35.0,33.25,32.75,0.0,0.0,447800.0
2013-01-15,KCB,KCB Group Plc,33.75,55.5,33.5,35.0,34.25,33.25,0.05,8.9e-05,1116600.0
2013-01-16,KCB,KCB Group Plc,33.75,55.5,33.25,35.0,34.5,34.25,0.1,0.000177,2421500.0
2013-01-17,KCB,KCB Group Plc,33.75,55.5,31.75,34.0,32.75,34.5,0.0,0.0,681200.0
2013-01-18,KCB,KCB Group Plc,33.75,55.5,32.5,33.25,32.75,32.75,0.0,0.0,896500.0
2013-01-21,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,32.75,32.75,0.0,0.0,964600.0
2013-01-22,KCB,KCB Group Plc,33.75,55.5,33.0,33.5,33.0,32.75,-0.1,0.000174,2667500.0
2013-01-23,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,33.0,33.0,-0.05,8.800000000000001e-05,703600.0
2013-01-24,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,32.75,33.0,0.0,0.0,660900.0
2013-01-25,KCB,KCB Group Plc,33.75,55.5,33.0,33.5,33.25,32.75,-0.05,8.9e-05,791900.0
2013-01-28,KCB,KCB Group Plc,33.75,55.5,33.25,34.0,33.5,33.25,-0.15,0.00027000000000000006,732500.0
2013-01-29,KCB,KCB Group Plc,33.75,55.5,33.5,34.0,33.5,33.5,-0.1,0.00018500000000000002,1282800.0
2013-01-30,KCB,KCB Group Plc,33.75,55.5,33.5,34.0,33.5,33.5,0.0,0.0,2921700.0
2013-01-31,KCB,KCB Group Plc,33.75,55.5,33.5,33.75,33.5,33.5,0.15,0.00028300000000000005,2170700.0
