DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-01-02,SCOM,Safaricom Plc,23.5,33.5,5.0,5.15,5.1,5.0,0.1,0.02,3320600.0
2013-01-03,SCOM,Safaricom Plc,23.5,33.5,5.1,5.25,5.15,5.1,0.05,0.0098,7252500.0
2013-01-04,SCOM,Safaricom Plc,23.5,33.5,5.15,5.35,5.25,5.15,0.1,0.0194,4125900.0
2013-01-07,SCOM,Safaricom Plc,23.5,33.5,5.2,5.45,5.35,5.25,0.1,0.019,4098600.0
2013-01-08,SCOM,Safaricom Plc,23.5,33.5,5.4,5.85,5.6,5.35,0.25,0.0467,10998900.0
2013-01-09,SCOM,Safaricom Plc,23.5,33.5,5.5,6.0,5.8,5.6,0.2,0.035699999999999996,13692600.0
2013-01-10,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.6,5.8,-0.2,0.0345,6690200.0
2013-01-11,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,0.0,0.0,4441400.0
2013-01-14,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,0.0,0.0,10957000.0
2013-01-15,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.65,5.6,0.05,0.0089,11688300.0
2013-01-16,SCOM,Safaricom Plc,23.5,33.5,5.65,5.85,5.75,5.65,0.1,0.0177,9132300.0
2013-01-17,SCOM,Safaricom Plc,23.5,33.5,5.7,5.8,5.75,5.75,0.0,0.0,15912500.0
2013-01-18,SCOM,Safaricom Plc,23.5,33.5,5.75,5.8,5.75,5.75,0.0,0.0,13298800.0
2013-01-21,SCOM,Safaricom Plc,23.5,33.5,5.5,5.8,5.75,5.75,0.0,0.0,44024200.0
2013-01-22,SCOM,Safaricom Plc,23.5,33.5,5.55,5.75,5.65,5.75,-0.1,0.0174,11704000.0
