DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2013-01-02,KCB,KCB Group Plc,33.75,55.5,30,30.5,30.25,29.75,0.5,1.68%,"144,500",-
2013-01-03,KCB,KCB Group Plc,33.75,55.5,30.25,31.5,31,30.25,0.75,2.48%,"790,400",-
2013-01-04,KCB,KCB Group Plc,33.75,55.5,31,31.5,31,31,-,-,"5,264,700",-
2013-01-07,KCB,KCB Group Plc,33.75,55.5,30.25,31.5,31,31,-,-,"2,037,700",-
2013-01-08,KCB,KCB Group Plc,33.75,55.5,30.25,31.25,31,31,-,-,"637,600",-
2013-01-09,KCB,KCB Group Plc,33.75,55.5,31,32,31.25,31,0.25,0.81%,"1,659,000",-
2013-01-10,KCB,KCB Group Plc,33.75,55.5,31.5,32.25,31.75,31.25,0.5,1.60%,"1,527,700",-
2013-01-11,KCB,KCB Group Plc,33.75,55.5,31.5,33.25,32.75,31.75,1,3.15%,"3,564,900",-
2013-01-14,KCB,KCB Group Plc,33.75,55.5,33,35,33.25,32.75,0.5,1.53%,"447,800",-
2013-01-15,KCB,KCB Group Plc,33.75,55.5,33.5,35,34.25,33.25,1,3.01%,"1,116,600",-
2013-01-16,KCB,KCB Group Plc,33.75,55.5,33.25,35,34.5,34.25,0.25,0.73%,"2,421,500",-
2013-01-17,KCB,KCB Group Plc,33.75,55.5,31.75,34,32.75,34.5,-1.75,5.07%,"681,200",-
2013-01-18,KCB,KCB Group Plc,33.75,55.5,32.5,33.25,32.75,32.75,-,-,"896,500",-
2013-01-21,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,32.75,32.75,-,-,"964,600",-
2013-01-22,KCB,KCB Group Plc,33.75,55.5,33,33.5,33,32.75,0.25,0.76%,"2,667,500",-
2013-01-23,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,33,33,-,-,"703,600",-
2013-01-24,KCB,KCB Group Plc,33.75,55.5,32.75,33.25,32.75,33,-0.25,0.76%,"660,900",-
2013-01-25,KCB,KCB Group Plc,33.75,55.5,33,33.5,33.25,32.75,0.5,1.53%,"791,900",-
2013-01-28,KCB,KCB Group Plc,33.75,55.5,33.25,34,33.5,33.25,0.25,0.75%,"732,500",-
2013-01-29,KCB,KCB Group Plc,33.75,55.5,33.5,34,33.5,33.5,-,-,"1,282,800",-
2013-01-30,KCB,KCB Group Plc,33.75,55.5,33.5,34,33.5,33.5,-,-,"2,921,700",-
2013-01-31,KCB,KCB Group Plc,33.75,55.5,33.5,33.75,33.5,33.5,-,-,"2,170,700",-
2013-02-01,KCB,KCB Group Plc,33.75,55.5,33.5,34,33.5,33.5,-,-,"4,395,100",-
2013-02-04,KCB,KCB Group Plc,33.75,55.5,33.75,34,33.75,33.5,0.25,0.75%,"432,500",-
2013-02-05,KCB,KCB Group Plc,33.75,55.5,33.75,34.5,34.25,33.75,0.5,1.48%,"346,700",-
2013-02-06,KCB,KCB Group Plc,33.75,55.5,34.25,35,34.75,34.25,0.5,1.46%,"4,716,400",-
2013-02-07,KCB,KCB Group Plc,33.75,55.5,34.75,35.5,34.75,34.75,-,-,"16,468,500",-
2013-02-08,KCB,KCB Group Plc,33.75,55.5,35,36,35.5,34.75,0.75,2.16%,"1,472,500",-
2013-02-11,KCB,KCB Group Plc,33.75,55.5,35.75,37.5,36.75,35.5,1.25,3.52%,"2,248,800",-
2013-02-12,KCB,KCB Group Plc,33.75,55.5,37,39,38.25,36.75,1.5,4.08%,"996,000",-
2013-02-13,KCB,KCB Group Plc,33.75,55.5,38.25,39,38.5,38.25,0.25,0.65%,"1,746,800",-
2013-02-14,KCB,KCB Group Plc,33.75,55.5,36,38.25,37,38.5,-1.5,3.90%,"4,161,300",-
2013-02-15,KCB,KCB Group Plc,33.75,55.5,36.5,38,37,37,-,-,"1,820,800",-
2013-02-18,KCB,KCB Group Plc,33.75,55.5,37,38,37.25,37,0.25,0.68%,"5,277,600",-
2013-02-19,KCB,KCB Group Plc,33.75,55.5,36.25,37.5,36.75,37.25,-0.5,1.34%,"2,303,900",-
2013-02-20,KCB,KCB Group Plc,33.75,55.5,35.5,37,36.5,36.75,-0.25,0.68%,"1,647,300",-
2013-02-21,KCB,KCB Group Plc,33.75,55.5,35.75,36.75,36.25,36.5,-0.25,0.68%,"2,615,400",-
2013-02-22,KCB,KCB Group Plc,33.75,55.5,36.25,36.75,36.5,36.25,0.25,0.69%,"1,242,000",-
2013-02-25,KCB,KCB Group Plc,33.75,55.5,36.5,38.5,37,36.5,0.5,1.37%,"3,253,900",-
2013-02-26,KCB,KCB Group Plc,33.75,55.5,38.5,39.5,39.25,37,2.25,6.08%,"8,451,400",-
2013-02-27,KCB,KCB Group Plc,33.75,55.5,37.25,39,38.5,39.25,-0.75,1.91%,"1,038,200",-
2013-02-28,KCB,KCB Group Plc,33.75,55.5,37.5,38.75,38.25,38.5,-0.25,0.65%,"348,100",-
2013-03-01,KCB,KCB Group Plc,33.75,55.5,35,37.5,35.75,38.25,-2.5,6.54%,"9,172,100",-
2013-03-05,KCB,KCB Group Plc,33.75,55.5,35.5,36,35.5,35.75,-0.25,0.70%,"971,600",-
2013-03-06,KCB,KCB Group Plc,33.75,55.5,35.5,36,35.5,35.5,-,-,"2,775,300",-
2013-03-07,KCB,KCB Group Plc,33.75,55.5,35.75,37.5,36,35.5,0.5,1.41%,"926,100",-
2013-03-08,KCB,KCB Group Plc,33.75,55.5,37.5,38.5,38.25,36,2.25,6.25%,"738,400",-
2013-03-11,KCB,KCB Group Plc,33.75,55.5,38,40,39.5,38.25,1.25,3.27%,"2,533,300",-
2013-03-12,KCB,KCB Group Plc,33.75,55.5,39.25,42,40.25,39.5,0.75,1.90%,"2,119,100",-
2013-03-13,KCB,KCB Group Plc,33.75,55.5,39.5,40,39.75,40.25,-0.5,1.24%,"3,323,600",-
2013-03-14,KCB,KCB Group Plc,33.75,55.5,39,39.75,39.25,39.75,-0.5,1.26%,"3,188,000",-
2013-03-15,KCB,KCB Group Plc,33.75,55.5,38,39.25,38.5,39.25,-0.75,1.91%,"1,750,400",-
2013-03-18,KCB,KCB Group Plc,33.75,55.5,38.25,39.25,38.5,38.5,-,-,"451,400",-
2013-03-19,KCB,KCB Group Plc,33.75,55.5,38.5,39,38.75,38.5,0.25,0.65%,"1,208,400",-
2013-03-20,KCB,KCB Group Plc,33.75,55.5,38.25,39,38.5,38.75,-0.25,0.65%,"704,700",-
2013-03-21,KCB,KCB Group Plc,33.75,55.5,38.25,38.75,38.5,38.5,-,-,"1,049,500",-
2013-03-22,KCB,KCB Group Plc,33.75,55.5,38,38.75,38.5,38.5,-,-,"848,300",-
2013-03-25,KCB,KCB Group Plc,33.75,55.5,38.5,39.5,39,38.5,0.5,1.30%,"5,522,600",-
2013-03-26,KCB,KCB Group Plc,33.75,55.5,39.25,40.25,40,39,1,2.56%,"687,600",-
2013-03-27,KCB,KCB Group Plc,33.75,55.5,40,41.75,40.75,40,0.75,1.88%,"6,146,800",-
2013-03-28,KCB,KCB Group Plc,33.75,55.5,41,41.75,41.5,40.75,0.75,1.84%,"1,184,000",-
2013-04-02,KCB,KCB Group Plc,33.75,55.5,41.75,44,42.5,41.5,1,2.41%,"2,609,200",-
2013-04-03,KCB,KCB Group Plc,33.75,55.5,42,42.5,42,42.5,-0.5,1.18%,"2,096,100",-
2013-04-04,KCB,KCB Group Plc,33.75,55.5,42.25,42.75,42.25,42,0.25,0.60%,"1,630,000",-
2013-04-05,KCB,KCB Group Plc,33.75,55.5,42.25,42.75,42.5,42.25,0.25,0.59%,"1,061,900",-
2013-04-08,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.5,-0.25,0.59%,"338,300",-
2013-04-10,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.25,-,-,"806,900",-
2013-04-11,KCB,KCB Group Plc,33.75,55.5,42,42.75,42.25,42.25,-,-,"1,520,500",-
2013-04-12,KCB,KCB Group Plc,33.75,55.5,42,42.5,42,42.25,-0.25,0.59%,"2,160,600",-
2013-04-15,KCB,KCB Group Plc,33.75,55.5,42,42.5,42,42,-,-,"399,600",-
2013-04-16,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42,42,-,-,"2,654,700",-
2013-04-17,KCB,KCB Group Plc,33.75,55.5,41.25,42,41.75,42,-0.25,0.60%,"9,715,100",-
2013-04-18,KCB,KCB Group Plc,33.75,55.5,40,41.75,41,41.75,-0.75,1.80%,"5,338,300",-
2013-04-19,KCB,KCB Group Plc,33.75,55.5,40.25,41.25,40.75,41,-0.25,0.61%,"230,500",-
2013-04-22,KCB,KCB Group Plc,33.75,55.5,39.75,41,40.5,40.75,-0.25,0.61%,"355,500",-
2013-04-23,KCB,KCB Group Plc,33.75,55.5,40.5,41,40.75,40.5,0.25,0.62%,"1,220,300",-
2013-04-24,KCB,KCB Group Plc,33.75,55.5,40.5,42,41.75,40.75,1,2.45%,"2,844,000",-
2013-04-25,KCB,KCB Group Plc,33.75,55.5,41,42,41.5,41.75,-0.25,0.60%,"1,352,200",-
2013-04-26,KCB,KCB Group Plc,33.75,55.5,41.5,41.75,41.5,41.5,-,-,"545,100",-
2013-04-29,KCB,KCB Group Plc,33.75,55.5,41.5,41.75,41.5,41.5,-,-,"485,700",-
2013-04-30,KCB,KCB Group Plc,33.75,55.5,41.5,42.5,42,41.5,0.5,1.20%,"6,183,300",-
2013-05-02,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42,42,-,-,"8,871,700",-
2013-05-03,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42,42,-,-,"1,229,500",-
2013-05-06,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42,0.25,0.60%,"4,541,500",-
2013-05-07,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.25,-,-,"9,702,500",-
2013-05-08,KCB,KCB Group Plc,33.75,55.5,42.5,43.25,42.75,42.25,0.5,1.18%,"2,210,200",-
2013-05-09,KCB,KCB Group Plc,33.75,55.5,42.5,43.5,43,42.75,0.25,0.58%,"530,300",-
2013-05-10,KCB,KCB Group Plc,33.75,55.5,42.75,43.5,43,43,-,-,"1,752,500",-
2013-05-13,KCB,KCB Group Plc,33.75,55.5,42,43,42.75,43,-0.25,0.58%,"2,436,500",-
2013-05-14,KCB,KCB Group Plc,33.75,55.5,39,41,40.5,42.75,-2.25,5.26%,"3,191,300",-
2013-05-15,KCB,KCB Group Plc,33.75,55.5,40.5,41.75,41.25,40.5,0.75,1.85%,"4,338,200",-
2013-05-16,KCB,KCB Group Plc,33.75,55.5,41,41.5,41,41.25,-0.25,0.61%,"3,799,000",-
2013-05-17,KCB,KCB Group Plc,33.75,55.5,41,41.75,41.25,41,0.25,0.61%,"2,287,900",-
2013-05-20,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41.25,-,-,"124,400",-
2013-05-21,KCB,KCB Group Plc,33.75,55.5,41.25,42,41.5,41.25,0.25,0.61%,"5,304,400",-
2013-05-22,KCB,KCB Group Plc,33.75,55.5,41.5,42.25,41.75,41.5,0.25,0.60%,"901,800",-
2013-05-23,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,42,41.75,0.25,0.60%,"963,200",-
2013-05-24,KCB,KCB Group Plc,33.75,55.5,41.5,42.5,41.75,42,-0.25,0.60%,"928,700",-
2013-05-27,KCB,KCB Group Plc,33.75,55.5,41.25,42,41.25,41.75,-0.5,1.20%,"1,518,700",-
2013-05-28,KCB,KCB Group Plc,33.75,55.5,41.25,42.75,41.75,41.25,0.5,1.21%,"1,272,600",-
2013-05-29,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42,41.75,0.25,0.60%,"2,008,100",-
2013-05-30,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,41.75,42,-0.25,0.60%,"1,459,200",-
2013-05-31,KCB,KCB Group Plc,33.75,55.5,41.25,42,41.5,41.75,-0.25,0.60%,"3,477,300",-
2013-06-03,KCB,KCB Group Plc,33.75,55.5,41,41.75,41,41.5,-0.5,1.20%,"3,127,200",-
2013-06-04,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41,0.25,0.61%,"4,021,600",-
2013-06-05,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.5,41.25,0.25,0.61%,"2,453,700",-
2013-06-06,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41.5,-0.25,0.60%,"1,682,600",-
2013-06-07,KCB,KCB Group Plc,33.75,55.5,40,41.5,41,41.25,-0.25,0.61%,"2,904,400",-
2013-06-10,KCB,KCB Group Plc,33.75,55.5,40,41,40.5,41,-0.5,1.22%,"611,500",-
2013-06-11,KCB,KCB Group Plc,33.75,55.5,40,41,40.5,40.5,-,-,"1,354,100",-
2013-06-12,KCB,KCB Group Plc,33.75,55.5,39,40.5,39.75,40.5,-0.75,1.85%,"1,001,500",-
2013-06-13,KCB,KCB Group Plc,33.75,55.5,38,40,39,39.75,-0.75,1.89%,"1,279,600",-
2013-06-14,KCB,KCB Group Plc,33.75,55.5,37.75,39,38.25,39,-0.75,1.92%,"1,206,300",-
2013-06-17,KCB,KCB Group Plc,33.75,55.5,36.5,38.25,37.25,38.25,-1,2.61%,"639,500",-
2013-06-18,KCB,KCB Group Plc,33.75,55.5,35.5,37,36.25,37.25,-1,2.68%,"1,152,700",-
2013-06-19,KCB,KCB Group Plc,33.75,55.5,36.25,38.25,37.5,36.25,1.25,3.45%,"4,049,400",-
2013-06-20,KCB,KCB Group Plc,33.75,55.5,38,39.25,38.75,37.5,1.25,3.33%,"4,250,000",-
2013-06-21,KCB,KCB Group Plc,33.75,55.5,38.5,39.25,38.75,38.75,-,-,"1,488,400",-
2013-06-24,KCB,KCB Group Plc,33.75,55.5,37,38.75,37.5,38.75,-1.25,3.23%,"4,779,400",-
2013-06-25,KCB,KCB Group Plc,33.75,55.5,36.5,37.25,36.5,37.5,-1,2.67%,"2,888,400",-
2013-06-26,KCB,KCB Group Plc,33.75,55.5,36.75,37.5,36.75,36.5,0.25,0.68%,"3,819,600",-
2013-06-27,KCB,KCB Group Plc,33.75,55.5,36.75,37.25,36.75,36.75,-,-,"3,662,000",-
2013-06-28,KCB,KCB Group Plc,33.75,55.5,36.75,37.5,37,36.75,0.25,0.68%,"744,700",-
2013-07-01,KCB,KCB Group Plc,33.75,55.5,36.75,37.75,37.25,37,0.25,0.68%,"1,966,100",-
2013-07-02,KCB,KCB Group Plc,33.75,55.5,37,38,37.5,37.25,0.25,0.67%,"1,885,700",-
2013-07-03,KCB,KCB Group Plc,33.75,55.5,37.25,38,37.5,37.5,-,-,"919,300",-
2013-07-04,KCB,KCB Group Plc,33.75,55.5,37.75,39,38,37.5,0.5,1.33%,"137,000",-
2013-07-05,KCB,KCB Group Plc,33.75,55.5,38,38.75,38.25,38,0.25,0.66%,"823,800",-
2013-07-08,KCB,KCB Group Plc,33.75,55.5,38.25,39.75,39.25,38.25,1,2.61%,"2,052,500",-
