DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2013-01-02,EGAD,Eaagads Ltd,8.2,14,25,25,25,25,-,-,-,-
2013-01-02,KUKZ,Kakuzi Plc,300,423.5,67.5,67.5,67.5,72,-4.5,6.25%,300,-
2013-01-02,KAPC,Kapchorua Tea Kenya Plc,59,95,118,118,118,118,-,-,-,59
2013-01-02,LIMT,Limuru Tea Plc,385,475,430,430,430,430,-,-,-,215
2013-01-02,SASN,Sasini Plc,14.8,19.6,11.7,12.05,11.9,11.7,0.2,1.71%,"14,500",-
2013-01-02,WTK,Williamson Tea Kenya Plc,92,165,200,200,200,200,-,-,-,100
2013-01-02,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,20
2013-01-02,ABSA,ABSA Bank Kenya Plc,9.3,14.2,15.65,16,15.7,15.75,-0.05,0.32%,"78,200",-
2013-01-02,COOP,Co-operative Bank of Kenya Ltd,10.5,17,12.75,13,12.75,12.6,0.15,1.19%,"123,300",9.11
2013-01-02,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,118,118,118,115,3,2.61%,"8,700",107.27
2013-01-02,EQTY,Equity Group Holdings Plc,32.15,55.5,23.75,24,23.75,23.75,-,-,"118,500",-
2013-01-02,HFCK,HF Group Ltd,3.49,7.9,15.4,15.5,15.45,15.45,-,-,"8,600",14.05
2013-01-02,KCB,KCB Group Plc,33.75,55.5,30,30.5,30.25,29.75,0.5,1.68%,"144,500",-
2013-01-02,NBK,National Bank of Kenya Ltd,3.4,4.4,17.1,17.5,17.35,17.25,0.1,0.58%,"2,600",14.34
2013-01-02,NCBA,NCBA Group Plc,24.9,40,38.75,39.25,39.1,38.45,0.65,1.69%,"56,100",32.31
2013-01-02,SBIC,Stanbic Holdings Plc,76.5,118.5,43,43,43,42,1,2.38%,100,-
2013-01-02,SCBK,Standard Chartered Bank Kenya Ltd,162,220,235,237,236.25,235,1.25,0.53%,"8,600",-
2013-01-02,EVRD,Eveready East Africa Ltd,0.75,1.28,1.95,2.05,2,2.05,-0.05,2.44%,"3,700",-
2013-01-02,XPRS,Express Kenya Plc,4.95,7.34,3.5,3.5,3.5,3.5,-,-,-,-
2013-01-02,KQ,Kenya Airways Plc,0.8,5.5,11,11.4,11.3,11.4,-0.1,0.88%,"180,500",45.2
2013-01-02,LKL,Longhorn Publishers Plc,4.26,8.6,10.2,10.2,10.2,10.2,-,-,-,4.08
2013-01-02,NMG,Nation Media Group Plc,14.95,49.5,225,225,225,222,3,1.35%,900,187.5
2013-01-02,SMER,Sameer Africa Plc,1.91,4.69,4.15,4.5,4.35,4.15,0.2,4.82%,"20,200",-
2013-01-02,SGL,Standard Group Plc,18,31,22.5,22.5,22.5,21.75,0.75,3.45%,600,-
2013-01-02,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.45,39.25,39.25,39.25,40,-0.75,1.88%,"1,000",-
2013-01-02,UCHM,Uchumi Supermarket Plc,0.23,0.58,19.1,19.25,19.1,19.05,0.05,0.26%,"69,200",-
2013-01-02,SCAN,WPP ScanGroup Plc,10.5,19.75,67.5,67.5,67.5,68.5,-1,1.46%,"2,600",-
2013-01-02,ARM,ARM Cement Plc,5.55,5.55,44.6,44.6,44.6,44.6,-,-,-,-
2013-01-02,BAMB,Bamburi Cement Ltd,27,120,190,190,190,185,5,2.70%,100,-
2013-01-02,CRWN,Crown Paints Kenya Plc,45,87,42.5,42.5,42.5,42.5,-,-,-,14.17
2013-01-02,CABL,East African Cables Ltd,1.44,3.98,11.5,12.5,11.75,11.7,0.05,0.43%,"8,400",-
2013-01-02,PORT,East African Portland Cement Ltd,12.6,18.5,39,39,39,39,-,-,-,-
2013-01-02,KENO,KenolKobil Ltd,12.8,23,13.5,13.6,13.55,13.55,-,-,"48,900",-
2013-01-02,KEGN,Kenya Electricity Generating Company Plc,4,6.5,8.85,9,8.9,8.8,0.1,1.14%,"98,900",-
2013-01-02,KPLC-P4,KPLC-P4,5,5,7.65,7.65,7.65,7.65,-,-,-,-
2013-01-02,KPLC-P7,KPLC-P7,6,6,5.5,5.5,5.5,5.5,-,-,-,-
2013-01-02,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,17,17.45,17,17.1,-0.1,0.58%,"977,600",-
2013-01-02,TOTL,Total Kenya Ltd,22,30,13.75,13.95,13.9,13.8,0.1,0.72%,"2,600",-
2013-01-02,BRIT,Britam Holdings Plc,5.7,10.65,5.9,6.25,6.05,6,0.05,0.83%,"173,400",-
2013-01-02,CIC,CIC Insurance Group Ltd,2,3.85,3.5,3.6,3.5,3.55,-0.05,1.41%,"281,800",2.92
2013-01-02,JUB,Jubilee Holdings Ltd,240,400,174,180,175,173,2,1.16%,"3,000",144.63
2013-01-02,KNRE,Kenya Re-Insurance Corporation Ltd,2.1,4.36,10.7,11,10.9,10.7,0.2,1.87%,"14,400",2.73
2013-01-02,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,6.75,6.75,6.75,6.7,0.05,0.75%,"4,000",-
2013-01-02,SLAM,Sanlam Kenya Plc,13.5,20.5,40.25,40.25,40.25,40.25,-,-,"1,400",26.83
2013-01-02,CTUM,Centum Investment Company Plc,19.6,33.5,12.2,12.4,12.2,12.35,-0.15,1.21%,"11,200",-
2013-01-02,OCH,Olympia Capital Holdings Ltd,1.9,2.9,3.7,3.7,3.7,3.4,0.3,8.82%,500,-
2013-01-02,TCL,Trans-Century Plc,1.45,4.5,23.25,23.25,23.25,23.5,-0.25,1.06%,"350,000",-
2013-01-02,BOC,BOC Kenya Plc,53,72,99.5,99.5,99.5,99.5,-,-,-,-
2013-01-02,BAT,British American Tobacco Kenya Plc,305,545,493,493,493,493,-,-,-,-
2013-01-02,CARB,Carbacid Investments Plc,7.1,9.4,120,120,120,122,-2,1.64%,"1,000",16
