DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2013-01-02,SCOM,Safaricom Plc,23.5,33.5,5,5.15,5.1,5,0.1,2.00%,"3,320,600",-
2013-01-03,SCOM,Safaricom Plc,23.5,33.5,5.1,5.25,5.15,5.1,0.05,0.98%,"7,252,500",-
2013-01-04,SCOM,Safaricom Plc,23.5,33.5,5.15,5.35,5.25,5.15,0.1,1.94%,"4,125,900",-
2013-01-07,SCOM,Safaricom Plc,23.5,33.5,5.2,5.45,5.35,5.25,0.1,1.90%,"4,098,600",-
2013-01-08,SCOM,Safaricom Plc,23.5,33.5,5.4,5.85,5.6,5.35,0.25,4.67%,"10,998,900",-
2013-01-09,SCOM,Safaricom Plc,23.5,33.5,5.5,6,5.8,5.6,0.2,3.57%,"13,692,600",-
2013-01-10,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.6,5.8,-0.2,3.45%,"6,690,200",-
2013-01-11,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,-,-,"4,441,400",-
2013-01-14,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,-,-,"10,957,000",-
2013-01-15,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.65,5.6,0.05,0.89%,"11,688,300",-
2013-01-16,SCOM,Safaricom Plc,23.5,33.5,5.65,5.85,5.75,5.65,0.1,1.77%,"9,132,300",-
2013-01-17,SCOM,Safaricom Plc,23.5,33.5,5.7,5.8,5.75,5.75,-,-,"15,912,500",-
2013-01-18,SCOM,Safaricom Plc,23.5,33.5,5.75,5.8,5.75,5.75,-,-,"13,298,800",-
2013-01-21,SCOM,Safaricom Plc,23.5,33.5,5.5,5.8,5.75,5.75,-,-,"44,024,200",-
2013-01-22,SCOM,Safaricom Plc,23.5,33.5,5.55,5.75,5.65,5.75,-0.1,1.74%,"11,704,000",-
2013-01-23,SCOM,Safaricom Plc,23.5,33.5,5.5,5.75,5.6,5.65,-0.05,0.88%,"15,443,800",-
2013-01-24,SCOM,Safaricom Plc,23.5,33.5,5.5,5.7,5.6,5.6,-,-,"10,709,600",-
2013-01-25,SCOM,Safaricom Plc,23.5,33.5,5.35,5.65,5.55,5.6,-0.05,0.89%,"8,849,900",-
2013-01-28,SCOM,Safaricom Plc,23.5,33.5,5.25,5.6,5.4,5.55,-0.15,2.70%,"25,313,400",-
2013-01-29,SCOM,Safaricom Plc,23.5,33.5,5.2,5.4,5.3,5.4,-0.1,1.85%,"10,536,800",-
2013-01-30,SCOM,Safaricom Plc,23.5,33.5,5.25,5.5,5.3,5.3,-,-,"18,410,500",-
2013-01-31,SCOM,Safaricom Plc,23.5,33.5,5.3,5.5,5.45,5.3,0.15,2.83%,"3,669,500",-
2013-02-01,SCOM,Safaricom Plc,23.5,33.5,5.4,5.55,5.5,5.45,0.05,0.92%,"110,832,700",-
2013-02-04,SCOM,Safaricom Plc,23.5,33.5,5.35,5.55,5.45,5.5,-0.05,0.91%,"2,871,900",-
2013-02-05,SCOM,Safaricom Plc,23.5,33.5,5.35,5.6,5.4,5.45,-0.05,0.92%,"28,078,100",-
2013-02-06,SCOM,Safaricom Plc,23.5,33.5,5.4,5.5,5.4,5.4,-,-,"3,453,300",-
2013-02-07,SCOM,Safaricom Plc,23.5,33.5,5.4,5.5,5.4,5.4,-,-,"36,267,900",-
2013-02-08,SCOM,Safaricom Plc,23.5,33.5,5.5,5.6,5.55,5.4,0.15,2.78%,"18,076,700",-
2013-02-11,SCOM,Safaricom Plc,23.5,33.5,5.55,5.7,5.65,5.55,0.1,1.80%,"9,357,400",-
2013-02-12,SCOM,Safaricom Plc,23.5,33.5,5.65,5.75,5.65,5.65,-,-,"25,566,000",-
2013-02-13,SCOM,Safaricom Plc,23.5,33.5,5.55,5.75,5.7,5.65,0.05,0.88%,"20,902,300",-
2013-02-14,SCOM,Safaricom Plc,23.5,33.5,5.55,5.65,5.6,5.7,-0.1,1.75%,"4,861,200",-
2013-02-15,SCOM,Safaricom Plc,23.5,33.5,5.55,5.65,5.55,5.6,-0.05,0.89%,"1,749,600",-
